小幅抬腿帧分析结果
================================================================================
文件: whole_body_tracking/assets/motions/gn_flat_02_2_1_19_100fps.npz
总帧数: 1683
小幅抬腿帧数: 140
阈值: 3.0cm - 8.0cm

所有小幅抬腿帧（按高度从高到低排序）:
帧号       高度(cm)     左脚(cm)     右脚(cm)    
--------------------------------------------------------------------------------
1167     7.86       7.86       7.86      
410      7.86       7.86       7.86      
1007     7.83       7.83       7.83      
456      7.79       7.79       7.79      
782      7.76       7.76       7.76      
968      7.65       7.65       7.65      
1166     7.46       7.46       7.46      
822      7.38       7.38       7.38      
457      7.32       7.32       7.32      
967      7.28       7.28       7.28      
1008     7.24       7.24       7.24      
409      7.23       7.23       7.23      
1204     7.22       7.22       7.22      
1165     7.08       7.08       7.08      
458      7.03       7.03       7.03      
781      6.86       6.86       6.86      
823      6.85       6.85       6.85      
966      6.77       6.77       6.77      
459      6.61       6.61       6.61      
1164     6.60       6.60       6.60      
1205     6.53       6.53       6.53      
1009     6.44       6.44       6.44      
460      6.34       6.34       6.34      
780      6.31       6.31       6.31      
965      6.29       6.29       6.29      
408      6.28       6.28       6.28      
824      6.12       6.12       6.12      
461      6.07       6.07       6.07      
1163     6.06       6.06       6.06      
1010     5.97       5.97       5.97      
1206     5.92       5.92       5.92      
779      5.77       5.77       5.77      
964      5.72       5.72       5.72      
407      5.69       5.69       5.69      
462      5.67       5.67       5.67      
825      5.64       5.64       5.64      
1011     5.57       5.57       5.57      
1162     5.53       5.53       5.53      
463      5.41       5.41       5.41      
826      5.19       5.19       5.19      
1207     5.12       5.12       5.12      
963      5.11       5.11       5.11      
1012     5.05       5.05       5.05      
778      5.04       5.04       5.04      
464      4.99       4.99       4.99      
1161     4.98       4.98       4.98      
406      4.83       4.83       4.83      
1013     4.79       4.79       4.79      
465      4.73       4.73       4.73      
1208     4.70       4.70       4.70      
777      4.64       4.64       4.64      
827      4.60       4.60       4.60      
962      4.56       4.56       4.56      
466      4.52       4.52       4.52      
1160     4.51       4.51       4.51      
87       4.49       4.49       4.49      
1014     4.48       4.48       4.48      
86       4.45       4.45       4.45      
88       4.44       4.44       4.44      
85       4.40       4.40       4.40      
1015     4.34       4.34       4.34      
89       4.30       4.30       4.30      
405      4.29       4.29       4.29      
1209     4.22       4.22       4.22      
828      4.22       4.22       4.22      
1016     4.21       4.21       4.21      
84       4.20       4.20       4.20      
90       4.19       4.19       4.19      
183      4.15       4.15       4.15      
467      4.15       4.15       4.15      
184      4.14       4.14       4.14      
182      4.13       4.13       4.13      
1159     4.13       4.13       4.13      
185      4.06       4.06       4.06      
776      4.06       4.06       4.06      
91       4.06       4.06       4.06      
181      4.04       4.04       4.04      
1017     4.03       4.03       4.03      
961      4.03       4.03       4.03      
83       4.01       4.01       4.01      
186      3.96       3.96       3.96      
1210     3.95       3.95       3.95      
180      3.95       3.95       3.95      
1018     3.91       3.91       3.91      
468      3.90       3.90       3.90      
179      3.86       3.86       3.86      
92       3.83       3.83       3.83      
1158     3.83       3.83       3.83      
82       3.82       3.82       3.82      
404      3.82       3.82       3.82      
187      3.79       3.79       3.79      
829      3.78       3.78       3.78      
1211     3.76       3.76       3.76      
1019     3.75       3.75       3.75      
775      3.69       3.69       3.69      
93       3.67       3.67       3.67      
960      3.64       3.64       3.64      
188      3.64       3.64       3.64      
178      3.62       3.62       3.62      
1020     3.62       3.62       3.62      
830      3.58       3.58       3.58      
469      3.56       3.56       3.56      
81       3.55       3.55       3.55      
554      3.54       3.54       3.54      
1212     3.52       3.52       3.52      
555      3.52       3.52       3.52      
1021     3.50       3.50       3.50      
1157     3.47       3.47       3.47      
556      3.47       3.47       3.47      
553      3.44       3.44       3.44      
177      3.44       3.44       3.44      
94       3.43       3.43       3.43      
552      3.42       3.42       3.42      
1213     3.39       3.39       3.39      
774      3.38       3.38       3.38      
470      3.35       3.35       3.35      
189      3.35       3.35       3.35      
1022     3.34       3.34       3.34      
551      3.34       3.34       3.34      
557      3.34       3.34       3.34      
80       3.33       3.33       3.33      
959      3.33       3.33       3.33      
831      3.33       3.33       3.33      
550      3.31       3.31       3.31      
95       3.27       3.27       3.27      
549      3.24       3.24       3.24      
403      3.23       3.23       3.23      
1023     3.22       3.22       3.22      
558      3.20       3.20       3.20      
1214     3.18       3.18       3.18      
471      3.15       3.15       3.15      
190      3.15       3.15       3.15      
96       3.12       3.12       3.12      
176      3.11       3.11       3.11      
958      3.10       3.10       3.10      
1024     3.04       3.04       3.04      
548      3.03       3.03       3.03      
832      3.03       3.03       3.03      
79       3.02       3.02       3.02      
1215     3.02       3.02       3.02      

连续的小幅抬腿区域:
起始帧        结束帧        长度       平均高度(cm)        最大高度(cm)       
--------------------------------------------------------------------------------
79         96         18       3.87            4.49           
176        190        15       3.76            4.15           
403        410        8        5.40            7.86           
456        471        16       5.29            7.79           
548        558        11       3.35            3.54           
774        782        9        5.28            7.76           
822        832        11       4.88            7.38           
958        968        11       5.23            7.65           
1007       1024       18       4.68            7.83           
1157       1167       11       5.59            7.86           
1204       1215       12       4.54            7.22           
