body_pos_x	body_pos_y	body_pos_z	body_quat_w	body_quat_x	body_quat_y	body_quat_z	joint_pos00	joint_pos01	joint_pos02	joint_pos03	joint_pos04	joint_pos05	joint_pos06	joint_pos07	joint_pos08	joint_pos09	joint_pos10	joint_pos11	joint_pos12	joint_pos13	joint_pos14	joint_pos15	joint_pos16	joint_pos17	joint_pos18	joint_pos19	joint_pos20	joint_pos21	joint_pos22	joint_pos23	joint_pos24	joint_pos25	joint_pos26	joint_vel_00	joint_vel_01	joint_vel_02	joint_vel_03	joint_vel_04	joint_vel_05	joint_vel_06	joint_vel_07	joint_vel_08	joint_vel_09	joint_vel_10	joint_vel_11	joint_vel_12	joint_vel_13	joint_vel_14	joint_vel_15	joint_vel_16	joint_vel_17	joint_vel_18	joint_vel_19	joint_vel_20	joint_vel_21	joint_vel_22	joint_vel_23	joint_vel_24	joint_vel_25	joint_vel_26
-0.683250	1.064685	0.932312	0.019046	0.007188	-0.004899	0.999781	0.038488	0.080795	-0.290665	0.701243	-0.433694	-0.053133	-0.073683	0.085181	-0.236727	0.605957	-0.410620	0.068688	0.024295	-0.001876	0.111546	-0.272669	-0.253077	-0.137251	-0.078941	0.000000	-0.082748	-0.118915	0.450286	-0.191117	-0.253101	0.036037	0.000000	0.017707	-0.024975	0.034514	-0.014171	-0.008251	-0.031999	0.016666	-0.014981	0.039686	-0.006264	-0.000656	-0.002401	-0.003929	0.192200	0.075337	0.137144	-0.234737	0.078700	-0.178672	0.000000	0.097430	-0.120364	0.290196	-0.104098	-0.533286	0.019932	0.000000
-0.683307	1.064644	0.932287	0.018781	0.007359	-0.005058	0.999784	0.038842	0.080295	-0.289975	0.700960	-0.433859	-0.053773	-0.073349	0.084881	-0.235933	0.605832	-0.410633	0.068640	0.024216	0.001968	0.113053	-0.269926	-0.257772	-0.135677	-0.082515	0.000000	-0.080799	-0.121323	0.456090	-0.193199	-0.263767	0.036435	0.000000	0.013329	-0.021827	0.035193	-0.006333	-0.017440	-0.004454	0.014215	-0.023380	0.045597	-0.010034	-0.010304	-0.001145	0.000259	0.188263	0.065103	0.113465	-0.223148	0.068434	-0.179799	0.000000	0.093460	-0.109800	0.279053	-0.099207	-0.507029	0.020007	0.000000
-0.683308	1.064580	0.932251	0.018677	0.007597	-0.005117	0.999784	0.039021	0.079922	-0.289257	0.700990	-0.434391	-0.053311	-0.073114	0.084246	-0.234903	0.605556	-0.411032	0.068642	0.024305	0.005655	0.114150	-0.268130	-0.262003	-0.134514	-0.086133	0.000000	-0.079009	-0.123307	0.461449	-0.195086	-0.273382	0.036837	0.000000	0.011204	-0.017379	0.024132	0.000156	-0.018076	0.015332	0.013288	-0.025938	0.041486	-0.013132	-0.009868	0.000315	-0.002077	0.176685	0.048858	0.071748	-0.202435	0.051228	-0.178163	0.000000	0.083715	-0.087176	0.253257	-0.090338	-0.458745	0.020452	0.000000
-0.683249	1.064562	0.932245	0.018293	0.007822	-0.005305	0.999788	0.039290	0.079600	-0.289009	0.700966	-0.434582	-0.053160	-0.072818	0.083844	-0.234274	0.605306	-0.411027	0.068652	0.024133	0.009036	0.115007	-0.267056	-0.265869	-0.133628	-0.089641	0.000000	-0.077450	-0.124810	0.466221	-0.196813	-0.282117	0.037253	0.000000	0.018458	-0.018740	0.007889	-0.000180	-0.000487	0.001764	0.019189	-0.022945	0.025445	-0.010514	0.010079	0.003175	-0.012480	0.163276	0.040740	0.037909	-0.183334	0.038544	-0.170898	0.000000	0.071774	-0.062821	0.224368	-0.082934	-0.417428	0.020811	0.000000
-0.683144	1.064633	0.932273	0.018103	0.007938	-0.005432	0.999790	0.039759	0.079172	-0.288942	0.700983	-0.434411	-0.053241	-0.072346	0.083328	-0.233885	0.605135	-0.410629	0.068769	0.023806	0.012186	0.115780	-0.266614	-0.269336	-0.132972	-0.092969	0.000000	-0.076138	-0.125820	0.470423	-0.198403	-0.290079	0.037670	0.000000	0.022536	-0.019901	0.004791	-0.000294	0.000670	-0.003212	0.022488	-0.022416	0.015780	-0.006276	0.017419	-0.000731	-0.015827	0.149750	0.037568	0.008783	-0.167226	0.027316	-0.160881	0.000000	0.059377	-0.040623	0.200801	-0.076617	-0.379843	0.019894	0.000000
-0.683024	1.064663	0.932292	0.017873	0.008028	-0.005590	0.999792	0.040191	0.078804	-0.288818	0.700954	-0.434555	-0.053288	-0.071918	0.082947	-0.233643	0.605055	-0.410331	0.068623	0.023500	0.015026	0.116510	-0.266705	-0.272558	-0.132535	-0.096077	0.000000	-0.075075	-0.126435	0.474253	-0.199878	-0.297310	0.038049	0.000000	0.020006	-0.007427	0.010010	-0.002685	-0.002388	-0.010494	0.019049	-0.000065	0.010739	-0.001614	0.016112	-0.009197	-0.012463	0.132974	0.036887	-0.012865	-0.155418	0.017098	-0.147383	0.000000	0.048073	-0.022202	0.186856	-0.070930	-0.341889	0.018630	0.000000
-0.682932	1.064667	0.932305	0.017808	0.008187	-0.005802	0.999791	0.040559	0.078875	-0.288541	0.700875	-0.434506	-0.053660	-0.071584	0.083325	-0.233456	0.605070	-0.409984	0.068401	0.023308	0.017505	0.117255	-0.267129	-0.275553	-0.132288	-0.098865	0.000000	-0.074215	-0.126708	0.477898	-0.201240	-0.303755	0.038415	0.000000	0.019414	0.007618	0.012925	-0.004405	-0.003029	-0.009756	0.020279	0.005354	0.009524	-0.000872	0.009389	-0.009854	-0.013034	0.116595	0.038930	-0.023068	-0.144369	0.010256	-0.131339	0.000000	0.038488	-0.007197	0.184094	-0.066359	-0.302514	0.018123	0.000000
-0.682803	1.064752	0.932304	0.017973	0.008294	-0.005911	0.999787	0.040968	0.079109	-0.288301	0.700778	-0.434676	-0.053678	-0.071107	0.083161	-0.233262	0.605020	-0.409955	0.068229	0.022979	0.019689	0.118067	-0.267628	-0.278333	-0.132125	-0.101330	0.000000	-0.073536	-0.126722	0.481616	-0.202532	-0.309411	0.038774	0.000000	0.023426	0.011924	0.008645	-0.003354	0.000212	-0.006275	0.023813	0.006898	0.002016	-0.000331	0.011545	-0.007965	-0.017911	0.102601	0.042435	-0.027747	-0.133968	0.006682	-0.115649	0.000000	0.027903	0.006403	0.183257	-0.064987	-0.266497	0.018162	0.000000
-0.682648	1.064852	0.932321	0.018047	0.008418	-0.006125	0.999783	0.041496	0.079352	-0.288196	0.700741	-0.434498	-0.053911	-0.070632	0.083601	-0.233375	0.605057	-0.409522	0.068083	0.022591	0.021609	0.118952	-0.268239	-0.280912	-0.132021	-0.103491	0.000000	-0.073099	-0.126452	0.485228	-0.203840	-0.314415	0.039141	0.000000	0.018869	0.020960	0.009985	-0.001287	-0.004007	-0.005560	0.017253	0.023501	-0.002246	0.000583	0.011462	-0.005158	-0.010848	0.089314	0.043095	-0.026201	-0.124811	0.007725	-0.101911	0.000000	0.017128	0.018151	0.178102	-0.066359	-0.236601	0.017910	0.000000
-0.682541	1.064878	0.932305	0.018374	0.008505	-0.006192	0.999776	0.041723	0.079947	-0.287901	0.700727	-0.434836	-0.053901	-0.070417	0.084101	-0.233351	0.605044	-0.409497	0.068023	0.022545	0.023262	0.119791	-0.268676	-0.283325	-0.131816	-0.105407	0.000000	-0.072851	-0.125996	0.488741	-0.205186	-0.318875	0.039491	0.000000	0.019435	0.023977	0.007288	0.001013	-0.002048	-0.002917	0.018418	0.027989	-0.003958	0.001220	0.015087	-0.003579	-0.008621	0.078349	0.043212	-0.028224	-0.117105	0.008379	-0.091353	0.000000	0.010048	0.026570	0.174414	-0.067532	-0.210288	0.016916	0.000000
